"name","location","city","population"
"旧金山","(-34.5,267.2)","wuhan",30000
"hayward",NULL,"wuhan",30000
"dwadf",NULL,"wuhan",30000
"wuhan","(145,12.68)","wuhan",30000
"beijing","(67.12,-122.3)","wuhan",30000
"hongkong","(85.45,-782)","wuhan",30000
"hayward",NULL,"wuhan",30000
"dwadf",NULL,"wuhan",30000
"旧金山","(-34.5,267.2)","旧金山",122222
"hayward",NULL,"旧金山",122222
"dwadf",NULL,"旧金山",122222
"wuhan","(145,12.68)","旧金山",122222
"beijing","(67.12,-122.3)","旧金山",122222
"hongkong","(85.45,-782)","旧金山",122222
"hayward",NULL,"旧金山",122222
"dwadf",NULL,"旧金山",122222
"旧金山","(-34.5,267.2)","hayward",99999
"hayward",NULL,"hayward",99999
"dwadf",NULL,"hayward",99999
"wuhan","(145,12.68)","hayward",99999
"beijing","(67.12,-122.3)","hayward",99999
"hongkong","(85.45,-782)","hayward",99999
"hayward",NULL,"hayward",99999
"dwadf",NULL,"hayward",99999
